"";"Country.Region";"population"
"1";"China";"1401667160"
"2";"India";"1359530533"
"3";"United States";"329413981"
"4";"Indonesia";"266911900"
"5";"Pakistan";"218873520"
"6";"Brazil";"211226388"
"7";"Nigeria";"200963599"
"8";"Bangladesh";"168231270"
"9";"Russia";"146780720"
"10";"Mexico";"126577691"
"11";"Japan";"126010000"
"12";"Philippines";"108376492"
"13";"Egypt";"100103288"
"14";"Ethiopia";"98665000"
"15";"Vietnam";"96208984"
"16";"DR Congo";"86790567"
"17";"Iran";"83262859"
"18";"Turkey";"83154997"
"19";"Germany";"83149300"
"20";"France";"67064000"
"21";"Thailand";"66478917"
"22";"United Kingdom";"66435600"
"23";"Italy";"60247214"
"24";"South Africa";"58775022"
"25";"Tanzania";"55890747"
"26";"Myanmar";"54339766"
"27";"South Korea";"51780579"
"28";"Colombia";"49395678"
"29";"Kenya";"47564296"
"30";"Spain";"47100396"
"31";"Argentina";"44938712"
"32";"Algeria";"43000000"
"33";"Sudan";"42327265"
"34";"Ukraine";"41902416"
"35";"Uganda";"40299300"
"36";"Iraq";"39127900"
"37";"Poland";"38386000"
"38";"Canada";"37949851"
"39";"Morocco";"35832595"
"40";"Saudi Arabia";"34218169"
"41";"Uzbekistan";"34057261"
"42";"Malaysia";"32712760"
"43";"Afghanistan";"32225560"
"44";"Venezuela";"32219521"
"45";"Peru";"32131400"
"46";"Angola";"31127674"
"47";"Ghana";"30280811"
"48";"Nepal";"29609623"
"49";"Yemen";"29161922"
"50";"Mozambique";"28571310"
"51";"Cameroon";"25876000"
"52";"Ivory Coast";"25823071"
"53";"Madagascar";"25680342"
"54";"Australia";"25639623"
"55";"North Korea";"25450000"
"56";"Taiwan";"23604265"
"57";"Niger";"22314743"
"58";"Sri Lanka";"21803000"
"59";"Burkina Faso";"20870060"
"60";"Mali";"19973000"
"61";"Romania";"19405156"
"62";"Chile";"19107216"
"63";"Kazakhstan";"18659072"
"64";"Malawi";"17563749"
"65";"Netherlands";"17442281"
"66";"Ecuador";"17439824"
"67";"Zambia";"17381168"
"68";"Syria";"17070135"
"69";"Guatemala";"16604026"
"70";"Senegal";"16209125"
"71";"Chad";"15692969"
"72";"Somalia";"15442905"
"73";"Cambodia";"15288489"
"74";"Zimbabwe";"15159624"
"75";"South Sudan";"12778250"
"76";"Rwanda";"12374397"
"77";"Guinea";"12218357"
"78";"Benin";"11733059"
"79";"Tunisia";"11722038"
"80";"Haiti";"11577779"
"81";"Belgium";"11524454"
"82";"Bolivia";"11469896"
"83";"Cuba";"11209628"
"84";"Burundi";"10953317"
"85";"Greece";"10724599"
"86";"Czechia";"10681161"
"87";"Jordan";"10631296"
"88";"Dominican Rep.";"10358320"
"89";"Sweden";"10333456"
"90";"Portugal";"10276617"
"91";"Azerbaijan";"10067108"
"92";"Hungary";"9772756"
"93";"United Arab Emirates";"9770529"
"94";"Belarus";"9413446"
"95";"Israel";"9168750"
"96";"Honduras";"9158345"
"97";"Tajikistan";"9127000"
"98";"Papua New Guinea";"8935000"
"99";"Austria";"8902600"
"100";"Switzerland";"8586550"
"101";"Sierra Leone";"7901454"
"102";"Togo";"7538000"
"103";"Hong Kong";"7500700"
"104";"Paraguay";"7152703"
"105";"Laos";"7123205"
"106";"Bulgaria";"7000039"
"107";"Serbia";"6963764"
"108";"Lebanon";"6855713"
"109";"Libya";"6777452"
"110";"El Salvador";"6704864"
"111";"Kyrgyzstan";"6490300"
"112";"Nicaragua";"6460411"
"113";"Turkmenistan";"5942089"
"114";"Denmark";"5822763"
"115";"Singapore";"5703600"
"116";"Finland";"5527573"
"117";"Central African Republic";"5496011"
"118";"Slovakia";"5456362"
"119";"Congo";"5380508"
"120";"Norway";"5367580"
"121";"Costa Rica";"5058007"
"122";"Palestine";"4976684"
"123";"New Zealand";"4968679"
"124";"Ireland";"4921500"
"125";"Oman";"4664790"
"126";"Liberia";"4475353"
"127";"Kuwait";"4420110"
"128";"Panama";"4218808"
"129";"Mauritania";"4077347"
"130";"Croatia";"4076246"
"131";"Georgia";"3723464"
"132";"Uruguay";"3518552"
"133";"Eritrea";"3497117"
"134";"Mongolia";"3306493"
"135";"Bosnia and Herz.";"3301000"
"136";"Puerto Rico(US)";"3193694"
"137";"Armenia";"2957500"
"138";"Albania";"2862427"
"139";"Lithuania";"2793350"
"140";"Qatar";"2747282"
"141";"Jamaica";"2726667"
"142";"Moldova";"2681735"
"143";"Namibia";"2458936"
"144";"Gambia";"2347706"
"145";"Botswana";"2338851"
"146";"Gabon";"2172579"
"147";"Slovenia";"2094060"
"148";"Macedonia";"2077132"
"149";"Lesotho";"2007201"
"150";"Latvia";"1906800"
"151";"Kosovo";"1795666"
"152";"Guinea-Bissau";"1604528"
"153";"Bahrain";"1543300"
"154";"East Timor";"1387149"
"155";"Trinidad and Tobago";"1363985"
"156";"Equatorial Guinea";"1358276"
"157";"Estonia";"1328360"
"158";"Mauritius";"1265985"
"159";"Eswatini";"1093238"
"160";"Djibouti";"1078373"
"161";"Fiji";"884887"
"162";"Cyprus";"8759"
"163";"Comoros";"873724"
"164";"Guyana";"782766"
"165";"Bhutan";"741672"
"166";"Solomon Islands";"680806"
"167";"Macao";"6796"
"168";"Montenegro";"622359"
"169";"Luxembourg";"613894"
"170";"Western Sahara";"582463"
"171";"Suriname";"581372"
"172";"Cape Verde";"550483"
"173";"Malta";"493559"
"174";"Transnistria";"469"
"175";"Brunei";"4424"
"176";"Belize";"408487"
"177";"Bahamas";"38534"
"178";"Maldives";"374775"
"179";"Iceland";"36426"
"180";"Northern Cyprus";"351965"
"181";"Vanuatu";"3045"
"182";"Barbados";"287025"
"183";"New Caledonia(France)";"2822"
"184";"French Polynesia(France)";"275918"
"185";"Abkhazia";"244832"
"186";"São Tomé and Príncipe";"201784"
"187";"Samoa";"200874"
"188";"Saint Lucia";"178696"
"189";"Guam(US)";"1724"
"190";"Curaçao(Netherlands)";"158665"
"191";"Artsakh";"148"
"192";"Kiribati";"1201"
"193";"Aruba(Netherlands)";"112309"
"194";"Grenada";"112003"
"195";"Saint Vincent and the Grenadines";"110608"
"196";"Jersey(UK)";"1068"
"197";"U.S. Virgin Islands(US)";"104578"
"198";"F.S. Micronesia";"104468"
"199";"Tonga";"100651"
"200";"Seychelles";"97625"
"201";"Antigua and Barbuda";"96453"
"202";"Isle of Man(UK)";"83314"
"203";"Andorra";"77543"
"204";"Dominica";"71808"
"205";"Cayman Islands(UK)";"65813"
"206";"Bermuda(UK)";"64027"
"207";"Guernsey(UK)";"62792"
"208";"American Samoa(US)";"567"
"209";"Greenland(Denmark)";"56081"
"210";"Northern Mariana Islands(US)";"562"
"211";"Marshall Islands";"555"
"212";"South Ossetia";"53532"
"213";"Saint Kitts and Nevis";"52823"
"214";"Faeroe Is.";"52124"
"215";"Turks and Caicos Islands(UK)";"41369"
"216";"Sint Maarten(Netherlands)";"40614"
"217";"Liechtenstein";"38557"
"218";"Monaco";"383"
"219";"Saint Martin(France)";"35746"
"220";"Gibraltar(UK)";"33701"
"221";"San Marino";"33574"
"222";"British Virgin Islands(UK)";"3003"
"223";"Åland Islands(Finland)";"29789"
"224";"Palau";"179"
"225";"Cook Islands(NZ)";"152"
"226";"Anguilla(UK)";"14869"
"227";"Wallis and Futuna(France)";"117"
"228";"Nauru";"11"
"229";"Tuvalu";"102"
"230";"St-Barthélemy";"9793"
"231";"Saint Pierre and Miquelon(France)";"6008"
"232";"Saint Helena, Ascension";"5633"
"233";"and Tristan da Cunha(UK)";""
"234";"Montserrat(UK)";"4989"
"235";"Falkland Islands(UK)";"3198"
"236";"Christmas Island(Australia)";"1928"
"237";"Norfolk Island(Australia)";"1756"
"238";"Niue(NZ)";"152"
"239";"Tokelau(NZ)";"14"
"240";"Vatican";"799"
"241";"Cocos (Keeling) Islands(Australia)";"538"
"242";"Pitcairn Islands(UK)";"50"
