"Country.Region";"population";"PopulationUN";"continent";"subcontinent";"Pop_0-4";"Pop_5-9";"Pop_10-14";"Pop_15-19";"Pop_20-24";"Pop_25-29";"Pop_30-34";"Pop_35-39";"Pop_40-44";"Pop_45-49";"Pop_50-54";"Pop_55-59";"Pop_60-64";"Pop_65-69";"Pop_70-74";"Pop_75-79";"Pop_80-84";"Pop_85-89";"Pop_90-94";"Pop_95-99";"100+";"Density_per_km2";"Deaths"
"Denmark";5822763;5797000;"Europe";"Channel Islands";309;297;337;339;374;402;355;317;361;377;422;388;346;309;351;235;147;78;36;10;1;136.5;279000
"Singapore";5703600;5935000;"Asia";"South-Eastern Asia";258;221;241;265;398;436;435;462;473;492;466;480;444;356;190;99;73;40;17;4;1;8357.6;127000
"Finland";5527573;5580000;"Europe";"Channel Islands";264;305;310;296;313;359;347;359;345;314;351;370;357;356;358;225;159;96;44;10;1;18.2;268000
"Central African Republic";5496011;4921000;"Africa";"Middle Africa";738;697;667;597;483;357;277;224;183;157;129;104;81;58;38;24;11;3;1;0;0;7.8;289000
"Slovakia";5456362;5451000;"Europe";"Eastern Europe";284;283;283;263;291;365;410;437;458;404;347;362;362;333;237;162;100;57;19;3;0;113.5;269000
"Congo";5380508;5687000;"Africa";"Middle Africa";822;770;685;573;476;398;354;326;294;242;189;139;97;67;44;26;12;3;0;0;0;16.2;175000
"Norway";5367580;5450000;"Europe";"Channel Islands";302;313;321;322;353;373;377;362;347;378;377;335;311;275;267;180;113;71;34;10;1;14.8;212000
"Costa Rica";5058007;5044000;"Latin America and the Caribbean";"Central America";348;358;355;363;400;424;431;395;348;302;305;297;244;179;139;92;60;33;15;4;1;99.8;125000
"Palestine";4976684;5323000;"Asia";"Western Asia";693;672;592;517;499;467;370;294;247;201;167;130;88;64;48;29;15;5;1;0;0;847.4;83000
"New Zealand";4968679;4834000;"Oceania";"Oceania";301;314;322;303;324;347;324;295;278;313;312;317;282;240;214;148;97;55;27;6;1;18.3;165000
"Ireland";4921500;4888000;"Europe";"Channel Islands";314;358;357;312;290;278;311;385;396;368;312;289;250;231;197;134;88;46;18;5;1;71.7;145000
"Oman";4664790;5150000;"Asia";"Western Asia";454;379;316;215;329;756;868;572;400;285;182;134;90;53;28;25;13;6;2;1;0;16.5;57000
"Liberia";4475353;5104000;"Africa";"Western Africa";740;678;623;552;463;378;334;296;245;199;158;126;97;71;45;31;15;5;1;0;0;52.5;181000
"Kuwait";4420110;4303000;"Asia";"Western Asia";290;319;308;225;207;238;366;512;515;451;347;214;149;71;32;16;8;2;0;0;0;239.6;54000
"Panama";4218808;4289000;"Latin America and the Caribbean";"South America";389;384;369;357;349;329;317;301;288;268;235;198;160;123;92;66;44;26;12;4;1;58;105000
"Mauritania";4077347;4784000;"Africa";"Western Africa";690;618;537;470;416;372;334;285;235;188;150;117;89;62;42;26;13;5;1;0;0;4.5;158000
"Croatia";4076246;4116000;"Europe";"Southern Europe";184;202;211;197;236;236;258;282;288;269;281;300;289;276;206;156;134;71;25;4;0;73.4;274000
"Georgia";3723464;3899000;"Asia";"Western Asia";268;285;253;218;233;267;290;275;264;254;246;278;249;211;150;98;96;37;14;2;0;57.4;257000
"Uruguay";3518552;3494000;"South America";"Oceania";237;236;233;246;254;257;240;222;234;221;196;195;179;149;124;96;70;48;25;9;2;19.8;163000
"Eritrea";3497117;5432000;"Africa";"Eastern Africa";495;477;487;374;285;287;269;191;141;140;88;84;68;60;47;30;15;6;2;0;0;35.1;125000
"Mongolia";3306493;3209000;"Asia";"Eastern Asia";375;362;282;219;228;272;309;255;223;200;168;146;98;61;36;24;13;6;2;0;0;2.1;99000
"Bosnia and Herz.";3301000;3498000;"Europe";"Southern Europe";133;162;181;165;216;187;216;242;221;227;231;269;242;222;143;99;85;25;11;2;0;64.3;178000
"Puerto Rico(US)";3193694;3651000;"Latin America and the Caribbean";"Caribbean";84;156;210;184;143;145;157;175;196;203;212;202;196;165;158;116;78;47;22;8;2;322.5;146000
"Armenia";2957500;2939000;"Asia";"Western Asia";205;214;198;170;176;232;267;237;191;162;163;199;197;131;84;42;59;22;9;1;0;104.1;146000
"Albania";2862427;2942000;"Europe";"Southern Europe";166;168;162;200;228;244;224;167;153;171;184;202;186;144;108;87;54;23;7;1;0;105;113000
"Lithuania";2793350;2852000;"Europe";"Channel Islands";145;156;121;122;134;183;186;151;161;195;185;236;187;166;108;115;83;56;26;6;1;43.4;192000
"Qatar";2747282;2792000;"Asia";"Western Asia";135;135;122;106;237;480;495;351;255;207;156;99;54;28;13;4;2;1;1;0;0;248.2;16000
"Jamaica";2726667;2913000;"Latin America and the Caribbean";"Caribbean";231;234;227;240;261;254;232;211;179;179;171;149;124;90;71;49;32;18;7;1;0;273.4;111000
"Moldova";2681735;4018000;"Europe";"Eastern Europe";203;222;217;202;241;330;418;356;302;261;234;287;258;230;105;80;53;26;8;1;0;122.8;235000
"Namibia";2458936;2697000;"Africa";"Southern Africa";336;318;282;245;244;228;197;159;131;107;82;68;51;36;24;17;9;4;1;0;0;3.1;1e+05
"Gambia";2347706;2293000;"Africa";"Western Africa";410;353;300;257;228;201;160;123;98;76;66;50;34;25;19;11;5;1;0;0;0;238.8;90000
"Botswana";2338851;2416000;"Africa";"Southern Africa";272;267;247;226;204;199;187;178;149;112;80;66;59;45;30;19;8;3;1;0;0;4.1;65000
"Gabon";2172579;2151000;"Africa";"Middle Africa";320;280;229;193;179;188;189;161;129;103;79;55;41;31;22;15;8;3;0;0;0;8.6;72000
"Slovenia";2094060;2082000;"Europe";"Southern Europe";101;109;105;92;96;109;134;150;158;147;151;150;146;139;98;80;59;37;14;3;0;103.2;103000
"Macedonia";2077132;2088000;"Europe";"Western Europe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lesotho";2007201;2322000;"Africa";"Southern Africa";254;225;212;217;204;191;175;153;119;91;75;66;55;42;30;19;10;5;1;0;0;70.6;150000
"Latvia";1906800;1893000;"Europe";"Channel Islands";114;94;102;87;70;119;142;121;121;133;119;145;130;120;75;88;49;35;18;5;1;30.3;142000
"Kosovo";1795666;1795666;"Europe";"Southern Europe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Guinea-Bissau";1604528;2001000;"Africa";"Western Africa";305;277;243;207;181;161;139;116;88;69;51;41;33;27;16;9;4;1;0;0;0;70;90000
"Bahrain";1543300;1698000;"Asia";"Western Asia";108;110;93;89;92;215;293;214;148;108;81;59;45;21;11;7;4;1;1;0;0;2238.9;18000
"East Timor";1387149;1381000;"Asia";"South-Eastern Asia";178;154;154;153;130;115;90;69;47;54;48;40;30;20;18;11;5;2;0;0;0;88.7;38000
"Trinidad and Tobago";1363985;1378000;"Latin America and the Caribbean";"Caribbean";88;96;96;89;86;97;117;126;101;90;83;92;76;60;44;30;16;7;3;1;0;272.8;58000
"Equatorial Guinea";1358276;1406000;"Africa";"Middle Africa";200;172;144;121;138;148;144;105;69;47;37;25;20;15;9;6;3;1;0;0;0;50;61000
"Estonia";1328360;1301000;"Europe";"Channel Islands";69;74;75;62;58;88;102;92;89;96;76;89;86;84;53;54;44;23;10;2;0;31.3;77000
"Mauritius";1265985;1274000;"Africa";"Eastern Africa";64;69;81;95;94;103;88;87;99;83;85;90;75;63;45;25;15;8;3;1;0;626.5;53000
"Eswatini";1093238;1093238;"Africa";"Southern Africa";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Djibouti";1078373;1000000;"Africa";"Eastern Africa";99;98;89;91;90;87;86;76;67;54;42;36;26;18;14;8;4;2;0;0;0;42.6;34000
"Fiji";884887;925000;"Oceania";"Oceania";89;88;83;75;72;70;67;68;57;49;47;44;34;23;15;8;4;1;0;0;0;49.1;36000
"Cyprus";8759;1207000;"Asia";"Western Asia";65;68;68;74;93;98;96;92;87;79;76;72;65;55;46;33;23;11;4;1;0;130.7;41000
"Comoros";873724;870000;"Africa";"Eastern Africa";124;114;102;90;80;71;64;54;43;34;28;23;18;12;7;5;2;1;0;0;0;467.3;30000
"Guyana";782766;304000;"South America";"Oceania";36;30;29;29;25;21;19;20;19;17;15;12;10;7;4;3;1;1;0;0;0;3.6;4000
"Guyana";782766;304000;"South America";"Oceania";36;30;29;29;25;21;19;20;19;17;15;12;10;7;4;3;1;1;0;0;0;3.6;29000
"Guyana";782766;304000;"South America";"Oceania";36;30;29;29;25;21;19;20;19;17;15;12;10;7;4;3;1;1;0;0;0;4;4000
"Guyana";782766;304000;"South America";"Oceania";36;30;29;29;25;21;19;20;19;17;15;12;10;7;4;3;1;1;0;0;0;4;29000
"Guyana";782766;304000;"South America";"Oceania";74;74;70;75;77;68;44;49;45;45;43;37;30;21;15;8;7;2;1;1;0;3.6;4000
"Guyana";782766;304000;"South America";"Oceania";74;74;70;75;77;68;44;49;45;45;43;37;30;21;15;8;7;2;1;1;0;3.6;29000
"Guyana";782766;304000;"South America";"Oceania";74;74;70;75;77;68;44;49;45;45;43;37;30;21;15;8;7;2;1;1;0;4;4000
"Guyana";782766;304000;"South America";"Oceania";74;74;70;75;77;68;44;49;45;45;43;37;30;21;15;8;7;2;1;1;0;4;29000
"Guyana";782766;791000;"South America";"Oceania";36;30;29;29;25;21;19;20;19;17;15;12;10;7;4;3;1;1;0;0;0;3.6;4000
"Guyana";782766;791000;"South America";"Oceania";36;30;29;29;25;21;19;20;19;17;15;12;10;7;4;3;1;1;0;0;0;3.6;29000
"Guyana";782766;791000;"South America";"Oceania";36;30;29;29;25;21;19;20;19;17;15;12;10;7;4;3;1;1;0;0;0;4;4000
"Guyana";782766;791000;"South America";"Oceania";36;30;29;29;25;21;19;20;19;17;15;12;10;7;4;3;1;1;0;0;0;4;29000
"Guyana";782766;791000;"South America";"Oceania";74;74;70;75;77;68;44;49;45;45;43;37;30;21;15;8;7;2;1;1;0;3.6;4000
"Guyana";782766;791000;"South America";"Oceania";74;74;70;75;77;68;44;49;45;45;43;37;30;21;15;8;7;2;1;1;0;3.6;29000
"Guyana";782766;791000;"South America";"Oceania";74;74;70;75;77;68;44;49;45;45;43;37;30;21;15;8;7;2;1;1;0;4;4000
"Guyana";782766;791000;"South America";"Oceania";74;74;70;75;77;68;44;49;45;45;43;37;30;21;15;8;7;2;1;1;0;4;29000
"Bhutan";741672;835000;"Asia";"Southern Asia";64;62;66;70;74;79;76;63;50;39;33;26;21;16;13;9;6;3;1;0;0;20.2;23000
"Solomon Islands";680806;647000;"Oceania";"Oceania";103;93;79;70;61;51;43;39;37;32;23;18;13;10;7;5;2;1;0;0;0;24.5;14000
"Macao";6796;652000;"Asia";"Eastern Asia";36;33;24;22;36;52;68;62;44;49;47;53;45;34;21;9;7;4;2;1;0;21717.1;12000
"Montenegro";622359;629000;"Europe";"Southern Europe";37;37;39;39;41;43;43;46;43;41;38;42;40;37;25;16;13;6;2;0;0;46.7;34000
"Luxembourg";613894;604000;"Europe";"Western Europe";33;33;31;34;40;46;49;49;47;48;48;43;35;27;22;16;12;8;3;1;0;241.7;21000
"Western Sahara";582463;597000;"Africa";"Southern Africa";56;56;50;49;50;55;56;53;46;37;29;23;18;11;5;3;1;0;0;0;0;2.2;14000
"Suriname";581372;578000;"South America";"Oceania";52;53;52;51;49;47;43;40;35;38;33;32;22;15;11;7;5;2;1;0;0;3.8;21000
"Cape Verde";550483;567000;"Africa";"Western Africa";52;53;51;49;46;52;53;46;36;29;25;23;15;11;5;4;4;2;1;0;0;138;15000
"Malta";493559;434000;"Europe";"Southern Europe";22;21;20;21;25;30;33;32;31;28;25;28;30;28;28;17;12;7;3;1;0;1379.8;18000
"Transnistria";469;469;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brunei";4424;445000;"Asia";"South-Eastern Asia";32;35;31;34;35;34;38;38;36;32;28;22;17;11;6;3;2;1;0;0;0;83;9000
"Belize";408487;398000;"Latin America and the Caribbean";"Central America";39;39;38;40;39;36;32;28;23;21;17;14;10;7;5;3;2;1;1;0;0;17.4;9000
"Bahamas";38534;407000;"Latin America and the Caribbean";"Caribbean";27;27;31;33;33;33;28;27;28;29;26;24;18;12;8;6;3;1;0;0;0;39.3;13000
"Maldives";374775;459000;"Asia";"Southern Asia";36;37;33;26;51;89;83;55;37;28;20;15;12;7;4;4;3;1;0;0;0;1801.8;7000
"Iceland";36426;343000;"Europe";"Channel Islands";20;23;23;21;22;26;23;24;22;21;21;21;20;17;14;9;6;4;2;0;0;3.4;11000
"Northern Cyprus";351965;351965;"Europe";"Southern Europe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Vanuatu";3045;294000;"Oceania";"Oceania";42;39;37;30;26;25;23;18;16;13;12;9;7;5;3;2;1;0;0;0;0;25.2;8000
"Barbados";287025;288000;"Latin America and the Caribbean";"Caribbean";15;15;18;19;19;19;18;19;19;20;20;20;19;15;12;8;6;4;2;1;0;668.3;13000
"New Caledonia(France)";2822;287000;"Oceania";"Oceania";20;22;22;21;23;20;21;21;20;21;18;17;13;10;8;5;3;1;0;0;0;15.6;8000
"French Polynesia(France)";275918;291000;"Oceania";"Oceania";20;20;23;21;21;19;23;21;19;21;19;17;13;10;6;5;2;1;0;0;0;76.7;8000
"Abkhazia";244832;244832;"Asia";"Western Asia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"São Tomé and Príncipe";201784;218000;"Africa";"Northern Africa";32;31;29;25;19;15;14;13;11;8;7;5;4;3;2;1;1;0;0;0;0;228.3;5000
"Samoa";200874;200000;"Oceania";"Oceania";27;24;23;19;17;15;12;10;10;10;9;8;6;4;3;2;1;0;0;0;0;70.1;5000
"Saint Lucia";178696;181000;"Latin America and the Caribbean";"Caribbean";11;11;11;13;16;17;14;14;13;13;12;11;8;6;5;3;2;1;1;0;0;301;6000
"Guam(US)";1724;169000;"Oceania";"Oceania";14;13;13;14;14;13;12;10;10;10;10;10;8;6;5;3;2;1;0;0;0;312.6;4000
"Curaçao(Netherlands)";158665;163000;"Latin America and the Caribbean";"Caribbean";9;10;10;11;10;10;9;9;9;11;12;13;11;9;8;5;4;2;1;0;0;369.6;7000
"Artsakh";148;148;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Kiribati";1201;122000;"Oceania";"Oceania";15;14;13;10;11;10;9;8;6;5;5;5;3;2;1;1;0;0;0;0;0;147.5;4000
"Aruba(Netherlands)";112309;106000;"Latin America and the Caribbean";"Caribbean";6;6;7;7;8;7;5;6;7;8;8;9;8;6;4;3;2;1;0;0;0;593.1;5000
"Grenada";112003;109000;"Latin America and the Caribbean";"Caribbean";9;9;9;8;9;10;9;9;7;6;6;6;6;4;3;2;1;1;0;0;0;330.9;5000
"Saint Vincent and the Grenadines";110608;111000;"Latin America and the Caribbean";"Caribbean";8;8;8;9;9;8;8;8;8;7;7;7;5;4;3;2;1;1;0;0;0;284.5;5000
"Jersey(UK)";1068;1068;"Europe";"Channel Islands";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"U.S. Virgin Islands(US)";104578;105000;"Latin America and the Caribbean";"Central America";6;7;7;7;6;6;5;5;6;6;7;7;7;7;6;5;2;1;0;0;0;298.4;4000
"F.S. Micronesia";104468;108000;"Oceania";"Oceania";12;12;12;11;12;11;8;7;6;5;5;5;4;3;1;1;0;0;0;0;0;164.3;4000
"Tonga";100651;111000;"Oceania";"Oceania";12;12;12;11;10;7;6;6;5;5;5;4;3;2;2;1;1;0;0;0;0;146.8;4000
"Seychelles";97625;96000;"Africa";"Eastern Africa";8;8;7;6;6;7;7;7;7;7;7;6;5;3;2;2;1;0;0;0;0;213.8;4000
"Antigua and Barbuda";96453;105000;"Latin America and the Caribbean";"Caribbean";7;7;7;7;8;7;7;7;7;7;7;6;5;3;3;2;1;1;0;0;0;222.6;3000
"Isle of Man(UK)";83314;86000;"Europe";"Channel Islands";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;149.2;NA
"Andorra";77543;77000;"Europe";"Southern Europe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;164.4;NA
"Dominica";71808;75000;"Latin America and the Caribbean";"Caribbean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;96;NA
"Cayman Islands(UK)";65813;64000;"Latin America and the Caribbean";"Caribbean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;273.8;NA
"Bermuda(UK)";64027;61000;"Northern America";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1245.5;NA
"Guernsey(UK)";62792;62792;"Europe";"Channel Islands";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"American Samoa(US)";567;56000;"Oceania";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;276;NA
"Greenland(Denmark)";56081;57000;"Northern America";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1;NA
"Northern Mariana Islands(US)";562;55000;"Oceania";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;125.1;NA
"Marshall Islands";555;53000;"Oceania";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;328.9;NA
"South Ossetia";53532;53532;"Asia";"Western Asia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Saint Kitts and Nevis";52823;57000;"Latin America and the Caribbean";"Caribbean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;204.6;NA
"Faeroe Is.";52124;50000;"Europe";"Channel Islands";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Turks and Caicos Islands(UK)";41369;37000;"Latin America and the Caribbean";"Caribbean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40.8;NA
"Sint Maarten(Netherlands)";40614;41000;"Latin America and the Caribbean";"Caribbean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1261.2;NA
"Liechtenstein";38557;39000;"Europe";"Western Europe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;238.4;NA
"Monaco";383;39000;"Europe";"Western Europe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26338.3;NA
"Saint Martin(France)";35746;35746;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Gibraltar(UK)";33701;35000;"Europe";"Southern Europe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3369.1;NA
"San Marino";33574;34000;"Europe";"Southern Europe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;565.6;NA
"British Virgin Islands(UK)";3003;33000;"Latin America and the Caribbean";"Caribbean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;201.6;NA
"Åland Islands(Finland)";29789;29789;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Palau";179;22000;"Oceania";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39.3;NA
"Cook Islands(NZ)";152;18000;"Oceania";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;73.2;NA
"Anguilla(UK)";14869;15000;"Latin America and the Caribbean";"Caribbean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;166.7;NA
"Wallis and Futuna(France)";117;117;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nauru";11;11000;"Oceania";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;541.7;NA
"Tuvalu";102;11000;"Oceania";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;393.1;NA
"St-Barthélemy";9793;9793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Saint Pierre and Miquelon(France)";6008;6000;"Northern America";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25.2;NA
"Saint Helena, Ascension";5633;4000;"Africa";"Western Africa";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15.6;NA
"and Tristan da Cunha(UK)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Montserrat(UK)";4989;5000;"Latin America and the Caribbean";"Caribbean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;NA
"Falkland Islands(UK)";3198;3000;"South America";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3;NA
"Christmas Island(Australia)";1928;1928;"Oceania";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Norfolk Island(Australia)";1756;1756;"Oceania";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Niue(NZ)";152;2000;"Oceania";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.2;NA
"Tokelau(NZ)";14;1000;"Oceania";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;135;NA
"Vatican";799;799;"Europe";"Southern Europe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cocos (Keeling) Islands(Australia)";538;538;"Oceania";"Oceania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Pitcairn Islands(UK)";50;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
